RAIN (mm),ET0 (mm),RHMIN (%),UD (m/s),p (%),N/n,Tmean (°C),D (KPa/°C),RN (MJ m-2 d-1),U2 (m/s),es (Kpa),ea (Kpa),g (KPa/°C),l (day-1),a (mm)
0,5.5,48,2.3,0.34,1,21.3,0.119613702,12.13,2.3,2.099087564,1.311016109,0.06994,0.1,15
0,5.5,48,2.3,0.34,1,20,0.111390583,11.91,2.3,2.037499076,1.253954798,,,
0,5.5,48,2.9,0.34,1,19.3,0.10716517,11.89,2.9,1.950420834,1.199859618,,,
0,5.5,24,4,0.34,1,22.6,0.128346027,13.49,4,2.334252899,1.00455629,,,
0,5.5,27,3.5,0.34,1,24.2,0.13982954,12.72,3.5,2.528544665,0.955163898,,,
0,5.5,41,2.7,0.34,1,21.6,0.121582762,11.65,2.7,2.197276232,1.270335293,,,
0,5.5,56,2.2,0.34,1,21.6,0.121582762,11.48,2.2,2.175392186,1.468701569,,,
0,5.5,56,2,0.34,1,22.8,0.129736238,11.75,2,2.313320082,1.558858712,,,
0,5.5,56,1.9,0.34,1,24.5,0.142076684,12.41,1.9,2.542517231,1.703787486,,,
0,5.5,46,2.4,0.34,1,26.4,0.157029902,12.54,2.4,2.840750158,1.687946237,,,
0,5.5,41,2.9,0.34,1,27.3,0.164564116,11.96,2.9,3.027573353,1.709585141,,,
0,5.5,44,2.5,0.34,1,26.6,0.158678489,12.67,2.5,2.883533694,1.683119943,,,
0,5.5,35,2.6,0.34,1,25.7,0.151373274,13.71,2.6,2.821656369,1.364635528,,,
0,5.5,42,2.5,0.34,1,24.5,0.142076684,12.86,2.5,2.564741704,1.432322278,,,
0,5.5,40,2.2,0.34,1,23.5,0.134702875,11.57,2.2,2.568061152,1.42711427,,,
0,5.5,47,3.3,0.34,1,21.5,0.120923378,11.61,3.3,2.159378442,1.299047691,,,
0,5.5,44,2.1,0.34,1,21.1,0.118316077,10.67,2.1,2.157172658,1.258261551,,,
0,5.5,38,2.5,0.34,1,21.5,0.120923378,11.82,2.5,2.135096238,1.154719193,,,
0,5.5,41,3.2,0.34,1,21.4,0.120267028,11.42,3.2,2.215902493,1.261164953,,,
17,5.5,47,2.9,0.34,1,21,0.117671756,11.63,2.9,2.070184182,1.227627152,,,
0,5.5,37,2.6,0.34,1,19.2,0.106572804,11.2,2.6,1.996467874,1.095251655,,,
8,5.5,40,2.3,0.34,1,20.7,0.115756623,12.45,2.3,2.132429058,1.179274439,,,
0,5.5,30,3.2,0.33,1,15.2,0.122245193,12.64,3.2,2.27087061,1.037819725,,,
0,5.5,36,2.6,0.33,1,17.2,0.129039547,11.99,2.6,2.361317534,1.206688802,,,
0,5.5,47,2.6,0.33,1,18.1,0.130436113,11.52,2.6,2.358444759,1.412013324,,,
0,5.5,42,2.2,0.33,1,17.9,0.121582762,10.79,2.2,2.244745499,1.287124333,,,
0,5.5,25,3.2,0.33,1,16.9,0.147439087,13.17,3.2,2.65464109,1.081130181,,,
0,5.5,29,3.1,0.33,1,20.6,0.161178758,12.13,3.1,2.958290925,1.134562822,,,
0,5.5,37,4.3,0.33,1,19.5,0.136880184,12.82,4.3,2.80294098,1.519422051,,,
0,5.5,48,4.1,0.33,1,19.2,0.128346027,12.28,4.1,2.625764569,1.592464413,,,
0,5.5,40,4.3,0.33,1,18.6,0.131139184,12.21,4.3,2.577666317,1.407403083,,,
0,5.5,51,2.9,0.33,1,17.9,0.131845461,11.64,2.9,2.363949653,1.470484495,,,
0,5.5,58,2.6,0.33,1,18.7,0.134702875,11.37,2.6,2.404040105,1.634320928,,,
0,5.5,64,2.6,0.33,1,19.7,0.138348211,11.21,2.6,2.495461927,1.792163833,,,
0,5.5,55,2.6,0.33,1,19.8,0.141324266,11.22,2.6,2.532739103,1.67741423,,,
0,5.5,49,2.5,0.33,1,20.1,0.140575222,11.05,2.5,2.565189732,1.60589232,,,
0,5.5,39,3.1,0.33,1,18.9,0.144354298,11.98,3.1,2.618803229,1.385304446,,,
0,5.5,27,3.3,0.33,1,18,0.157029902,12.86,3.3,2.811731372,1.149811309,,,
0,5.5,27,3.2,0.33,1,20,0.150579419,11.49,3.2,2.756507063,1.190452047,,,
6,5.5,29,3.2,0.33,1,18.2,0.13982954,11.52,3.2,2.498722249,1.191460441,,,
0,5.5,43,2.9,0.33,1,19.1,0.138348211,11.36,2.9,2.536347992,1.449208215,,,
12,5.5,52,2.8,0.33,1,18.6,0.138348211,11.53,2.8,2.477982972,1.563919357,,,
0,5.5,47,3.5,0.33,1,18.5,0.131845461,12.08,3.5,2.581146083,1.550882701,,,
0,5.5,38,2.7,0.33,1,19.5,0.14900226,12.43,2.7,2.859650675,1.46288769,,,
0,5.5,43,2.7,0.33,1,20,0.148218932,11.18,2.7,2.642803198,1.533023278,,,
0,5.5,55,2.6,0.33,1,20.5,0.148218932,11.04,2.6,2.653420146,1.754912901,,,
0,5.5,57,2.6,0.33,1,20.5,0.149789085,10.91,2.6,2.636657828,1.767854525,,,
0,5.5,54,2.5,0.33,1,21.3,0.155395803,10.93,2.5,2.758728321,1.809068364,,,
0,5.5,60,2.4,0.33,1,21.7,0.161178758,11.21,2.4,2.852857808,1.951051695,,,
0,5.5,57,2,0.33,1,22,0.16800928,11.57,2,2.972163613,1.99267849,,,
